378.06206490996897
L1:1, L2:2, L3:5, bigFreqLv:4, littleFreqLv:0
L1:3, L2:1, L3:4, bigFreqLv:4, littleFreqLv:1
L1:1, L2:1, L3:6, bigFreqLv:5, littleFreqLv:3
L1:1, L2:0, L3:7, bigFreqLv:1, littleFreqLv:4
L1:4, L2:0, L3:4, bigFreqLv:10, littleFreqLv:0
L1:1, L2:1, L3:6, bigFreqLv:2, littleFreqLv:3
L1:4, L2:0, L3:4, bigFreqLv:4, littleFreqLv:1
L1:2, L2:0, L3:6, bigFreqLv:4, littleFreqLv:2
L1:2, L2:0, L3:6, bigFreqLv:5, littleFreqLv:2
L1:1, L2:0, L3:7, bigFreqLv:10, littleFreqLv:4
L1:2, L2:0, L3:6, bigFreqLv:7, littleFreqLv:2
L1:4, L2:0, L3:4, bigFreqLv:7, littleFreqLv:1
L1:1, L2:3, L3:4, bigFreqLv:8, littleFreqLv:2
L1:1, L2:2, L3:5, bigFreqLv:2, littleFreqLv:3
L1:2, L2:0, L3:6, bigFreqLv:8, littleFreqLv:2
L1:4, L2:0, L3:4, bigFreqLv:12, littleFreqLv:0
L1:2, L2:1, L3:5, bigFreqLv:4, littleFreqLv:2
L1:4, L2:1, L3:3, bigFreqLv:6, littleFreqLv:1
L1:2, L2:0, L3:6, bigFreqLv:10, littleFreqLv:2
L1:2, L2:3, L3:3, bigFreqLv:1, littleFreqLv:1
L1:1, L2:4, L3:3, bigFreqLv:8, littleFreqLv:2
L1:4, L2:1, L3:3, bigFreqLv:7, littleFreqLv:1
L1:3, L2:0, L3:5, bigFreqLv:7, littleFreqLv:2
L1:1, L2:2, L3:5, bigFreqLv:11, littleFreqLv:3
L1:2, L2:2, L3:4, bigFreqLv:6, littleFreqLv:2
L1:2, L2:1, L3:5, bigFreqLv:6, littleFreqLv:3
L1:1, L2:3, L3:4, bigFreqLv:7, littleFreqLv:4
L1:2, L2:2, L3:4, bigFreqLv:8, littleFreqLv:2
L1:1, L2:3, L3:4, bigFreqLv:5, littleFreqLv:5
L1:2, L2:3, L3:3, bigFreqLv:7, littleFreqLv:2
L1:2, L2:1, L3:5, bigFreqLv:6, littleFreqLv:4
L1:2, L2:0, L3:6, bigFreqLv:12, littleFreqLv:3
L1:1, L2:6, L3:1, bigFreqLv:1, littleFreqLv:1
L1:3, L2:3, L3:2, bigFreqLv:3, littleFreqLv:0
L1:1, L2:5, L3:2, bigFreqLv:2, littleFreqLv:2
L1:2, L2:4, L3:2, bigFreqLv:7, littleFreqLv:0
L1:1, L2:5, L3:2, bigFreqLv:7, littleFreqLv:2
L1:2, L2:4, L3:2, bigFreqLv:12, littleFreqLv:1
L1:3, L2:4, L3:1, bigFreqLv:11, littleFreqLv:1
L1:2, L2:0, L3:6, bigFreqLv:11, littleFreqLv:0
L1:2, L2:0, L3:6, bigFreqLv:9, littleFreqLv:0
L1:2, L2:0, L3:6, bigFreqLv:7, littleFreqLv:0
L1:2, L2:0, L3:6, bigFreqLv:6, littleFreqLv:0
L1:1, L2:0, L3:7, bigFreqLv:1, littleFreqLv:1
